"test"," time-1461115964"," time-1461161168"," time-1461161168","range"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy.hs"," 77.0630"," 56.4304"," 21.3155","55"
"Tests/Benchmarks/text/Data/Text/Lazy.hs"," 77.9382"," 67.7892"," 22.3694","55"
"Tests/Benchmarks/text/Data/Text/Lazy/Search.hs"," 90.8144"," 90.4680"," 37.8280","52"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.hs"," 11.7205"," 11.6302"," 60.5894","48"
"Tests/Benchmarks/text/Data/Text/Lazy/Fusion.hs"," 6.7622"," 6.4198"," 53.6729","47"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.T.hs"," 14.1102"," 14.1096"," 60.9492","46"
"Tests/Benchmarks/text/Data/Text.hs"," 68.5614"," 64.4665"," 22.2863","46"
"Tests/Benchmarks/text/Data/Text/Encoding.hs"," 71.8703"," 75.2189"," 33.5933","41"
"Tests/Benchmarks/bytestring/Data/ByteString/LazyZip.hs"," 92.8435"," 76.3226"," 57.4058","35"
"Tests/Benchmarks/esop/Base.hs"," 95.6293"," 90.8354"," 68.8753","26"
"Tests/Benchmarks/bytestring/Data/ByteString.T.hs"," 36.7709"," 31.2578"," 21.4015","15"
"Tests/Benchmarks/bytestring/Data/ByteString.hs"," 32.8084"," 27.6727"," 18.6415","14"
"Tests/Benchmarks/text/Data/Text/Internal.hs"," 4.9952"," 3.5187"," 17.0658","13"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/LaTeX.hs"," 22.7849"," 18.4244"," 11.2061","11"
"Tests/Benchmarks/icfp_neg/TwiceM.hs"," 28.6388"," 27.1794"," 38.7821","11"
"Tests/Unit/pos/LambdaEval.hs"," 21.6091"," 21.8905"," 13.6356","8"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Heap.hs"," 24.1942"," 24.5092"," 31.7217","7"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Optimal.hs"," 6.5527"," 6.4456"," 14.4304","7"
"Tests/Benchmarks/text/Data/Text/Lazy/Builder.hs"," 13.1966"," 12.3776"," 6.3636","6"
"Tests/Unit/pos/jeff.hs"," 10.7548"," 9.8595"," 4.2838","6"
