 (HEAD -> develop, origin/develop) : bc6915a05b0342adb25b1abbe700123db744c2ad
Timestamp: 2016-04-19 18:32:44 -0700
Epoch Timestamp: 1461115964
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7218, True
Tests/Unit/pos/zipW1.hs, 0.7059, True
Tests/Unit/pos/zipW.hs, 0.7256, True
Tests/Unit/pos/zipSO.hs, 0.8373, True
Tests/Unit/pos/zipper000.hs, 0.9805, True
Tests/Unit/pos/zipper0.hs, 1.2407, True
Tests/Unit/pos/zipper.hs, 2.9196, True
Tests/Unit/pos/wrap1.hs, 0.9166, True
Tests/Unit/pos/wrap0.hs, 0.7621, True
Tests/Unit/pos/Words1.hs, 0.6679, True
Tests/Unit/pos/Words.hs, 0.6516, True
Tests/Unit/pos/WBL0.hs, 1.6664, True
Tests/Unit/pos/WBL.hs, 1.6760, True
Tests/Unit/pos/vector2.hs, 1.2986, True
Tests/Unit/pos/vector1b.hs, 1.0803, True
Tests/Unit/pos/vector1a.hs, 1.0691, True
Tests/Unit/pos/vector1.hs, 1.0560, True
Tests/Unit/pos/vector00.hs, 0.7661, True
Tests/Unit/pos/vector0.hs, 1.1481, True
Tests/Unit/pos/vecloop.hs, 0.9008, True
Tests/Unit/pos/Variance.hs, 0.6633, True
Tests/Unit/pos/unusedtyvars.hs, 0.6804, True
Tests/Unit/pos/tyvar.hs, 0.6566, True
Tests/Unit/pos/TypeAlias.hs, 0.6617, True
Tests/Unit/pos/tyfam0.hs, 0.6736, True
Tests/Unit/pos/tyExpr.hs, 0.6446, True
Tests/Unit/pos/tyclass0.hs, 0.6393, True
Tests/Unit/pos/tupparse.hs, 0.7123, True
Tests/Unit/pos/tup0.hs, 0.7254, True
Tests/Unit/pos/transTAG.hs, 1.6473, True
Tests/Unit/pos/transpose.hs, 1.7741, True
Tests/Unit/pos/trans.hs, 0.9899, True
Tests/Unit/pos/ToyMVar.hs, 0.9153, True
Tests/Unit/pos/TopLevel.hs, 0.6877, True
Tests/Unit/pos/top0.hs, 0.7359, True
Tests/Unit/pos/TokenType.hs, 0.6370, True
Tests/Unit/pos/testRec.hs, 0.7214, True
Tests/Unit/pos/Test761.hs, 0.6979, True
Tests/Unit/pos/test2.hs, 0.7053, True
Tests/Unit/pos/test1.hs, 0.6944, True
Tests/Unit/pos/test00c.hs, 0.8462, True
Tests/Unit/pos/test00b.hs, 0.7072, True
Tests/Unit/pos/test000.hs, 0.7027, True
Tests/Unit/pos/test00.old.hs, 0.6865, True
Tests/Unit/pos/test00.hs, 0.6902, True
Tests/Unit/pos/test00-int.hs, 0.6949, True
Tests/Unit/pos/test0.hs, 0.7022, True
Tests/Unit/pos/TerminationNum0.hs, 0.6818, True
Tests/Unit/pos/TerminationNum.hs, 0.6700, True
Tests/Unit/pos/Termination.lhs, 0.7798, True
Tests/Unit/pos/term0.hs, 0.7522, True
Tests/Unit/pos/Term.hs, 0.6887, True
Tests/Unit/pos/take.hs, 0.9682, True
Tests/Unit/pos/tagBinder.hs, 0.6507, True
Tests/Unit/pos/T598.hs, 0.7929, True
Tests/Unit/pos/T595a.hs, 0.6366, True
Tests/Unit/pos/T595.hs, 0.7052, True
Tests/Unit/pos/T531.hs, 0.6483, True
Tests/Unit/pos/Sum.hs, 0.6973, True
Tests/Unit/pos/StructRec.hs, 0.6643, True
Tests/Unit/pos/Strings.hs, 0.6975, True
Tests/Unit/pos/StringLit.hs, 0.6443, True
Tests/Unit/pos/string00.hs, 0.6828, True
Tests/Unit/pos/StrictPair1.hs, 0.8659, True
Tests/Unit/pos/StrictPair0.hs, 0.6804, True
