 (HEAD -> developgraph, origin/developgraph) : b49b9bfabf9a3f72f88a4645d7662d5abc93021c
Timestamp: 2016-04-20 07:06:08 -0700
Epoch Timestamp: 1461161168
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7235, True
Tests/Unit/pos/zipW1.hs, 0.7192, True
Tests/Unit/pos/zipW.hs, 0.7280, True
Tests/Unit/pos/zipSO.hs, 0.7256, True
Tests/Unit/pos/zipper000.hs, 0.9223, True
Tests/Unit/pos/zipper0.hs, 1.1036, True
Tests/Unit/pos/zipper.hs, 1.6286, True
Tests/Unit/pos/wrap1.hs, 0.9291, True
Tests/Unit/pos/wrap0.hs, 0.7507, True
Tests/Unit/pos/Words1.hs, 0.6963, True
Tests/Unit/pos/Words.hs, 0.7137, True
Tests/Unit/pos/WBL0.hs, 1.4489, True
Tests/Unit/pos/WBL.hs, 1.4536, True
Tests/Unit/pos/vector2.hs, 1.2289, True
Tests/Unit/pos/vector1b.hs, 0.9857, True
Tests/Unit/pos/vector1a.hs, 1.0171, True
Tests/Unit/pos/vector1.hs, 1.0606, True
Tests/Unit/pos/vector00.hs, 0.9187, True
Tests/Unit/pos/vector0.hs, 1.1198, True
Tests/Unit/pos/vecloop.hs, 0.8537, True
Tests/Unit/pos/Variance.hs, 0.7495, True
Tests/Unit/pos/unusedtyvars.hs, 0.7201, True
Tests/Unit/pos/tyvar.hs, 0.6555, True
Tests/Unit/pos/TypeAlias.hs, 0.6870, True
Tests/Unit/pos/tyfam0.hs, 0.7032, True
Tests/Unit/pos/tyExpr.hs, 0.6760, True
Tests/Unit/pos/tyclass0.hs, 0.6788, True
Tests/Unit/pos/tupparse.hs, 0.7464, True
Tests/Unit/pos/tup0.hs, 0.7170, True
Tests/Unit/pos/transTAG.hs, 1.4886, True
Tests/Unit/pos/transpose.hs, 1.1283, True
Tests/Unit/pos/trans.hs, 0.8185, True
Tests/Unit/pos/ToyMVar.hs, 0.9051, True
Tests/Unit/pos/TopLevel.hs, 0.7152, True
Tests/Unit/pos/top0.hs, 0.7492, True
Tests/Unit/pos/TokenType.hs, 0.6646, True
Tests/Unit/pos/testRec.hs, 0.7003, True
Tests/Unit/pos/Test761.hs, 0.7390, True
Tests/Unit/pos/test2.hs, 0.7323, True
Tests/Unit/pos/test1.hs, 0.7385, True
Tests/Unit/pos/test00c.hs, 0.8246, True
Tests/Unit/pos/test00b.hs, 0.7304, True
Tests/Unit/pos/test000.hs, 0.7355, True
Tests/Unit/pos/test00.old.hs, 0.7324, True
Tests/Unit/pos/test00.hs, 0.7803, True
Tests/Unit/pos/test00-int.hs, 0.7813, True
Tests/Unit/pos/test0.hs, 0.7483, True
Tests/Unit/pos/TerminationNum0.hs, 0.7332, True
Tests/Unit/pos/TerminationNum.hs, 0.6850, True
Tests/Unit/pos/Termination.lhs, 0.8036, True
Tests/Unit/pos/term0.hs, 0.8703, True
Tests/Unit/pos/Term.hs, 0.7500, True
Tests/Unit/pos/take.hs, 0.9001, True
Tests/Unit/pos/tagBinder.hs, 0.6997, True
Tests/Unit/pos/T598.hs, 0.8357, True
Tests/Unit/pos/T595a.hs, 0.6510, True
Tests/Unit/pos/T595.hs, 0.7583, True
