 (HEAD -> developgraph, origin/developgraph) : b49b9bfabf9a3f72f88a4645d7662d5abc93021c
Timestamp: 2016-04-20 07:06:08 -0700
Epoch Timestamp: 1461161168
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7403, True
Tests/Unit/pos/zipW1.hs, 0.7123, True
Tests/Unit/pos/zipW.hs, 0.7486, True
Tests/Unit/pos/zipSO.hs, 0.8322, True
Tests/Unit/pos/zipper000.hs, 0.9653, True
Tests/Unit/pos/zipper0.hs, 1.2488, True
Tests/Unit/pos/zipper.hs, 2.9313, True
Tests/Unit/pos/wrap1.hs, 0.9188, True
Tests/Unit/pos/wrap0.hs, 0.7706, True
Tests/Unit/pos/Words1.hs, 0.6944, True
Tests/Unit/pos/Words.hs, 0.6700, True
Tests/Unit/pos/WBL0.hs, 1.6932, True
Tests/Unit/pos/WBL.hs, 1.6593, True
Tests/Unit/pos/vector2.hs, 1.2703, True
Tests/Unit/pos/vector1b.hs, 1.0949, True
Tests/Unit/pos/vector1a.hs, 1.0900, True
Tests/Unit/pos/vector1.hs, 1.0442, True
Tests/Unit/pos/vector00.hs, 0.7622, True
Tests/Unit/pos/vector0.hs, 1.2002, True
Tests/Unit/pos/vecloop.hs, 0.8724, True
Tests/Unit/pos/Variance.hs, 0.6810, True
Tests/Unit/pos/unusedtyvars.hs, 0.7016, True
Tests/Unit/pos/tyvar.hs, 0.6737, True
Tests/Unit/pos/TypeAlias.hs, 0.6698, True
Tests/Unit/pos/tyfam0.hs, 0.7094, True
Tests/Unit/pos/tyExpr.hs, 0.6670, True
Tests/Unit/pos/tyclass0.hs, 0.6728, True
Tests/Unit/pos/tupparse.hs, 0.7264, True
Tests/Unit/pos/tup0.hs, 0.6961, True
Tests/Unit/pos/transTAG.hs, 1.5408, True
Tests/Unit/pos/transpose.hs, 1.7057, True
Tests/Unit/pos/trans.hs, 0.9801, True
Tests/Unit/pos/ToyMVar.hs, 0.9167, True
Tests/Unit/pos/TopLevel.hs, 0.7136, True
Tests/Unit/pos/top0.hs, 0.7569, True
Tests/Unit/pos/TokenType.hs, 0.6815, True
Tests/Unit/pos/testRec.hs, 0.7048, True
Tests/Unit/pos/Test761.hs, 0.7447, True
Tests/Unit/pos/test2.hs, 0.7188, True
Tests/Unit/pos/test1.hs, 0.7267, True
Tests/Unit/pos/test00c.hs, 0.8807, True
Tests/Unit/pos/test00b.hs, 0.7297, True
Tests/Unit/pos/test000.hs, 0.7445, True
Tests/Unit/pos/test00.old.hs, 0.7398, True
Tests/Unit/pos/test00.hs, 0.7119, True
Tests/Unit/pos/test00-int.hs, 0.7251, True
Tests/Unit/pos/test0.hs, 0.7312, True
Tests/Unit/pos/TerminationNum0.hs, 0.7231, True
Tests/Unit/pos/TerminationNum.hs, 0.6680, True
Tests/Unit/pos/Termination.lhs, 0.7721, True
Tests/Unit/pos/term0.hs, 0.7768, True
Tests/Unit/pos/Term.hs, 0.7196, True
Tests/Unit/pos/take.hs, 0.9644, True
Tests/Unit/pos/tagBinder.hs, 0.6834, True
Tests/Unit/pos/T598.hs, 0.8468, True
Tests/Unit/pos/T595a.hs, 0.6500, True
Tests/Unit/pos/T595.hs, 0.7634, True
Tests/Unit/pos/T531.hs, 0.6825, True
Tests/Unit/pos/Sum.hs, 0.7546, True
Tests/Unit/pos/StructRec.hs, 0.6978, True
Tests/Unit/pos/Strings.hs, 0.7347, True
Tests/Unit/pos/StringLit.hs, 0.6745, True
Tests/Unit/pos/string00.hs, 0.7265, True
Tests/Unit/pos/StrictPair1.hs, 0.9222, True
Tests/Unit/pos/StrictPair0.hs, 0.7138, True
Tests/Unit/pos/StreamInvariants.hs, 0.6859, True
Tests/Unit/pos/stateInvarint.hs, 0.8792, True
Tests/Unit/pos/StateF00.hs, 0.7258, True
Tests/Unit/pos/StateConstraints00.hs, 0.7206, True
Tests/Unit/pos/StateConstraints0.hs, 8.2560, True
Tests/Unit/pos/StateConstraints.hs, 4.7170, True
Tests/Unit/pos/State1.hs, 0.7478, True
Tests/Unit/pos/state00.hs, 0.7063, True
Tests/Unit/pos/State.hs, 0.8720, True
Tests/Unit/pos/stacks0.hs, 0.7734, True
Tests/Unit/pos/StackClass.hs, 0.7041, True
Tests/Unit/pos/spec0.hs, 0.7334, True
Tests/Unit/pos/Solver.hs, 1.1330, True
Tests/Unit/pos/SimplerNotation.hs, 0.6823, True
Tests/Unit/pos/selfList.hs, 0.9719, True
Tests/Unit/pos/scanr.hs, 0.8349, True
Tests/Unit/pos/SafePartialFunctions.hs, 0.7156, True
Tests/Unit/pos/risers.hs, 1.1796, True
Tests/Unit/pos/ResolvePred.hs, 0.7428, True
Tests/Unit/pos/ResolveB.hs, 0.6723, True
Tests/Unit/pos/ResolveA.hs, 0.6927, True
Tests/Unit/pos/Resolve.hs, 0.6778, True
Tests/Unit/pos/repeatHigherOrder.hs, 1.0070, True
Tests/Unit/pos/Repeat.hs, 0.7154, True
Tests/Unit/pos/RelativeComplete.hs, 0.7352, True
Tests/Unit/pos/recursion0.hs, 0.6908, True
Tests/Unit/pos/RecSelector.hs, 0.6933, True
Tests/Unit/pos/RecQSort0.hs, 0.8920, True
Tests/Unit/pos/RecQSort.hs, 0.8806, True
Tests/Unit/pos/RecordSelectorError.hs, 0.7058, True
Tests/Unit/pos/record1.hs, 0.6715, True
Tests/Unit/pos/record0.hs, 0.7701, True
Tests/Unit/pos/rec_annot_go.hs, 0.8155, True
Tests/Unit/pos/RealProps1.hs, 0.7342, True
Tests/Unit/pos/RealProps.hs, 0.7191, True
Tests/Unit/pos/RBTree.hs, 1.0013, True
Tests/Unit/pos/RBTree-ord.hs, 7.2193, True
Tests/Unit/pos/RBTree-height.hs, 3.2601, True
Tests/Unit/pos/RBTree-color.hs, 3.6667, True
Tests/Unit/pos/RBTree-col-height.hs, 5.0518, True
Tests/Unit/pos/rangeAdt.hs, 1.5811, True
Tests/Unit/pos/range1.hs, 0.7787, True
Tests/Unit/pos/range.hs, 0.9510, True
Tests/Unit/pos/qualTest.hs, 0.7297, True
Tests/Unit/pos/propmeasure1.hs, 0.6719, True
Tests/Unit/pos/propmeasure.hs, 0.7668, True
Tests/Unit/pos/Propability.hs, 0.7795, True
Tests/Unit/pos/profcrasher.hs, 0.7053, True
Tests/Unit/pos/Product.hs, 0.9247, True
Tests/Unit/pos/primInt0.hs, 0.8597, True
Tests/Unit/pos/pred.hs, 0.6718, True
Tests/Unit/pos/pragma0.hs, 0.6776, True
Tests/Unit/pos/poslist_dc.hs, 0.7907, True
Tests/Unit/pos/poslist.hs, 0.9418, True
Tests/Unit/pos/polyqual.hs, 0.9047, True
Tests/Unit/pos/polyfun.hs, 0.7491, True
Tests/Unit/pos/poly4.hs, 0.7157, True
Tests/Unit/pos/poly3a.hs, 0.7039, True
Tests/Unit/pos/poly3.hs, 0.7358, True
Tests/Unit/pos/poly2.hs, 0.7664, True
Tests/Unit/pos/poly2-degenerate.hs, 0.7494, True
Tests/Unit/pos/poly1.hs, 0.7459, True
Tests/Unit/pos/poly0.hs, 0.7617, True
Tests/Unit/pos/PointDist.hs, 0.9839, True
Tests/Unit/pos/PlugHoles.hs, 0.6669, True
Tests/Unit/pos/PersistentVector.hs, 0.7893, True
Tests/Unit/pos/Permutation.hs, 1.8789, True
Tests/Unit/pos/partialmeasure.hs, 0.7029, True
Tests/Unit/pos/partial-tycon.hs, 0.6715, True
Tests/Unit/pos/pargs1.hs, 0.6697, True
Tests/Unit/pos/pargs.hs, 0.6877, True
Tests/Unit/pos/PairMeasure0.hs, 0.7179, True
Tests/Unit/pos/PairMeasure.hs, 0.7317, True
Tests/Unit/pos/pair00.hs, 1.2296, True
Tests/Unit/pos/pair0.hs, 1.3715, True
Tests/Unit/pos/pair.hs, 1.4404, True
Tests/Unit/pos/Overwrite.hs, 0.7347, True
Tests/Unit/pos/OrdList.hs, 15.2710, True
Tests/Unit/pos/nullterm.hs, 1.0597, True
Tests/Unit/pos/NoExhaustiveGuardsError.hs, 0.6866, True
Tests/Unit/pos/NoCaseExpand.hs, 0.9832, True
Tests/Unit/pos/niki1.hs, 0.7492, True
Tests/Unit/pos/niki.hs, 0.7385, True
Tests/Unit/pos/nats.hs, 1.1185, True
Tests/Unit/pos/MutualRec.hs, 1.7764, True
Tests/Unit/pos/mutrec.hs, 0.7003, True
